Classifications	Treatments	etrait	Annotation for etraita	eQTL	Lead_SNPb	P-valuec	eQTL_Typed	Candidate gene in eQTL region	Annotation for candidate genea
Static local-eQTLs	WS2	Zm00001d045466	Lung seven transmembrane receptor family protein	9:23209954~23217365	9_23216281	6.1599999999999998E-14	L	Zm00001d045465	Lung seven transmembrane receptor family protein
Static local-eQTLs	WW	Zm00001d040118	Sarcoplasmic reticulum histidine-rich calcium- binding protein	3:28239216~28241008	3_28239395	3.3599999999999998E-12	L	Zm00001d040118	Sarcoplasmic reticulum histidine-rich calcium- binding protein
Static local-eQTLs	WS1	Zm00001d040118	Sarcoplasmic reticulum histidine-rich calcium- binding protein	3:28239277~28241008	3_28239897	7.3099999999999998E-11	L	Zm00001d040118	Sarcoplasmic reticulum histidine-rich calcium- binding protein
Static local-eQTLs	WS2	Zm00001d040118	Sarcoplasmic reticulum histidine-rich calcium- binding protein	3:28239216~28241008	3_28239395	3.5500000000000001E-15	L	Zm00001d040118	Sarcoplasmic reticulum histidine-rich calcium- binding protein
Static local-eQTLs	WW	Zm00001d039733	Histone H4  	3:13212375~13212766	3_13212482	1.9799999999999999E-10	L	Zm00001d039733	Histone H4  
Static local-eQTLs	WS1	Zm00001d039733	Histone H4  	3:13212482~13212746	3_13212482	5.3799999999999998E-11	L	Zm00001d039733	Histone H4  
Static local-eQTLs	WS2	Zm00001d039733	Histone H4  	3:13212482~13212746	3_13212482	1.62E-14	L	Zm00001d039733	Histone H4  
Static local-eQTLs	WW	Zm00001d015090	AT-hook motif nuclear-localized protein 1	5:75184567~75189076	5_75185007	1.14E-9	L	Zm00001d015090	AT-hook motif nuclear-localized protein 1
Static local-eQTLs	WS1	Zm00001d015090	AT-hook motif nuclear-localized protein 1	5:75184573~75189076	5_75184660	1.3000000000000001E-9	L	Zm00001d015090	AT-hook motif nuclear-localized protein 1
Static local-eQTLs	WS2	Zm00001d015090	AT-hook motif nuclear-localized protein 1	5:75184660~75189076	5_75184816	4.4000000000000002E-7	L	Zm00001d015090	AT-hook motif nuclear-localized protein 1
Static local-eQTLs	WW	Zm00001d018289	Alkaline-phosphatase-like family protein	5:218009846~218033735	5_218019937	2.3800000000000001E-9	L	Zm00001d001747,Zm00001d018290,Zm00001d018289,Zm00001d018291	"/,\MADS box interactor-like\"",\""Alkaline-phosphatase-like family protein\"",\""Transducin/WD40 repeat-like superfamily protein\"""""
Static local-eQTLs	WS1	Zm00001d018289	Alkaline-phosphatase-like family protein	5:218008691~218033735	5_218012734	4.6800000000000003E-11	L	Zm00001d001747,Zm00001d018290,Zm00001d018289,Zm00001d018291	"/,\MADS box interactor-like\"",\""Alkaline-phosphatase-like family protein\"",\""Transducin/WD40 repeat-like superfamily protein\"""""
Static local-eQTLs	WS2	Zm00001d018289	Alkaline-phosphatase-like family protein	5:218009846~218033735	5_218012734	2.6900000000000001E-13	L	Zm00001d001747,Zm00001d018290,Zm00001d018289,Zm00001d018291	"/,\MADS box interactor-like\"",\""Alkaline-phosphatase-like family protein\"",\""Transducin/WD40 repeat-like superfamily protein\"""""
Static local-eQTLs	WW	Zm00001d016787	SLL1 protein	5:175971293~175977523	5_175973860	1.56E-17	L	Zm00001d016787	SLL1 protein
Static local-eQTLs	WS1	Zm00001d016787	SLL1 protein	5:175971293~175977523	5_175973860	1.52E-18	L	Zm00001d016787	SLL1 protein
Static local-eQTLs	WS2	Zm00001d016787	SLL1 protein	5:175971293~175977523	5_175973860	5.4800000000000003E-16	L	Zm00001d016787	SLL1 protein
Static local-eQTLs	WW	Zm00001d025406	Histone H3.2  	10:117441097~117441654	10_117441097	7.5199999999999999E-10	L	Zm00001d025406	Histone H3.2  
Static local-eQTLs	WS1	Zm00001d025406	Histone H3.2  	10:117441097~117441654	10_117441097	7.4500000000000001E-10	L	Zm00001d025406	Histone H3.2  
Static local-eQTLs	WS2	Zm00001d025406	Histone H3.2  	10:117441377~117441654	10_117441377	1.33E-8	L	Zm00001d025406	Histone H3.2  
Static local-eQTLs	WW	Zm00001d003710	Protein SET DOMAIN GROUP 41	2:55844808~55851820	2_55848893	5.4399999999999998E-10	L	Zm00001d003710	Protein SET DOMAIN GROUP 41
Static local-eQTLs	WS1	Zm00001d003710	Protein SET DOMAIN GROUP 41	2:55844490~55851820	2_55847437	1.7599999999999999E-11	L	Zm00001d003710	Protein SET DOMAIN GROUP 41
Static local-eQTLs	WS2	Zm00001d003710	Protein SET DOMAIN GROUP 41	2:55844490~55852703	2_55851426	2.7099999999999999E-10	L	Zm00001d003710	Protein SET DOMAIN GROUP 41
Static local-eQTLs	WW	Zm00001d053184	/	4:218709849~218717288	4_218711065	6.0199999999999997E-17	L	Zm00001d053184	/
Static local-eQTLs	WS1	Zm00001d053184	/	4:218709849~218717288	4_218711065	4.4199999999999998E-16	L	Zm00001d053184	/
Static local-eQTLs	WS2	Zm00001d053184	/	4:218709849~218717288	4_218711065	2.53E-18	L	Zm00001d053184	/
Static local-eQTLs	WW	Zm00001d021762	Putative PAP-specific phosphatase mitochondrial	7:162562890~162567316	7_162565456	1.71E-10	L	Zm00001d021762	Putative PAP-specific phosphatase mitochondrial
Static local-eQTLs	WS1	Zm00001d021762	Putative PAP-specific phosphatase mitochondrial	7:162562890~162567316	7_162562978	3.9600000000000001E-12	L	Zm00001d021762	Putative PAP-specific phosphatase mitochondrial
Static local-eQTLs	WS2	Zm00001d021762	Putative PAP-specific phosphatase mitochondrial	7:162562890~162562980	7_162562978	4.2900000000000002E-11	L	Zm00001d021762	Putative PAP-specific phosphatase mitochondrial
Static local-eQTLs	WW	Zm00001d017475	Anaphase-promoting complex subunit 8	5:197045041~197051535	5_197045636	1.4600000000000001E-16	L	Zm00001d017475	Anaphase-promoting complex subunit 8
Static local-eQTLs	WS1	Zm00001d017475	Anaphase-promoting complex subunit 8	5:197045636~197050005	5_197045636	9.7000000000000006E-15	L	Zm00001d017475	Anaphase-promoting complex subunit 8
Static local-eQTLs	WS2	Zm00001d017475	Anaphase-promoting complex subunit 8	5:197045041~197051535	5_197045636	1.02E-15	L	Zm00001d017475	Anaphase-promoting complex subunit 8
Static local-eQTLs	WW	Zm00001d047942	Actin-depolymerizing factor 5  	9:145901075~145901914	9_145901523	1.6900000000000001E-12	L	Zm00001d047942	Actin-depolymerizing factor 5  
Static local-eQTLs	WS1	Zm00001d047942	Actin-depolymerizing factor 5  	9:145901075~145901914	9_145901717	4.9099999999999997E-11	L	Zm00001d047942	Actin-depolymerizing factor 5  
Static local-eQTLs	WS2	Zm00001d047942	Actin-depolymerizing factor 5  	9:145900790~145901914	9_145900873	1.46E-11	L	Zm00001d047942	Actin-depolymerizing factor 5  
Static local-eQTLs	WW	Zm00001d032112	Protein ecdysoneless homolog	1:213424410~213424915	1_213424713	2.0900000000000002E-12	L	Zm00001d032112	Protein ecdysoneless homolog
Static local-eQTLs	WS1	Zm00001d032112	Protein ecdysoneless homolog	1:213424410~213424915	1_213424713	1.8999999999999999E-10	L	Zm00001d032112	Protein ecdysoneless homolog
Static local-eQTLs	WS2	Zm00001d032112	Protein ecdysoneless homolog	1:213432943~213434838	1_213433710	8.8200000000000005E-15	L	Zm00001d032112	Protein ecdysoneless homolog
Static local-eQTLs	WW	Zm00001d010661	VQ motif family protein [Source:UniProtKB/TrEMBL;Acc:B6TDS5]	8:123211460~123216140	8_123212384	1.28E-11	L	Zm00001d010661	VQ motif family protein [Source:UniProtKB/TrEMBL;Acc:B6TDS5]
Static local-eQTLs	WS1	Zm00001d010661	VQ motif family protein [Source:UniProtKB/TrEMBL;Acc:B6TDS5]	8:123211460~123216140	8_123215029	4.2300000000000002E-13	L	Zm00001d010661	VQ motif family protein [Source:UniProtKB/TrEMBL;Acc:B6TDS5]
Static local-eQTLs	WS2	Zm00001d010661	VQ motif family protein [Source:UniProtKB/TrEMBL;Acc:B6TDS5]	8:123211460~123216140	8_123215029	1.13E-14	L	Zm00001d010661	VQ motif family protein [Source:UniProtKB/TrEMBL;Acc:B6TDS5]
Static local-eQTLs	WW	Zm00001d024470	DNA-directed RNA polymerase  	10:72352674~72360094	10_72357610	1.0600000000000001E-8	L	Zm00001d024470	DNA-directed RNA polymerase  
Static local-eQTLs	WS1	Zm00001d024470	DNA-directed RNA polymerase  	10:72346835~72360094	10_72357610	9.2300000000000002E-10	L	Zm00001d024470	DNA-directed RNA polymerase  
Static local-eQTLs	WS2	Zm00001d024470	DNA-directed RNA polymerase  	10:72352674~72360094	10_72360094	8.07E-10	L	Zm00001d024470	DNA-directed RNA polymerase  
Static local-eQTLs	WW	Zm00001d013757	DEK domain-containing chromatin associated protein	5:19519231~19531902	5_19523113	2.25E-8	L	Zm00001d013757	DEK domain-containing chromatin associated protein
Static local-eQTLs	WS1	Zm00001d013757	DEK domain-containing chromatin associated protein	5:19523738~19533479	5_19528655	1.2400000000000001E-9	L	Zm00001d013757	DEK domain-containing chromatin associated protein
Static local-eQTLs	WS2	Zm00001d013757	DEK domain-containing chromatin associated protein	5:19519231~19531892	5_19529109	9.89E-10	L	Zm00001d013757	DEK domain-containing chromatin associated protein
Static local-eQTLs	WW	Zm00001d012100	/	8:168244413~168245090	8_168245015	3.5600000000000002E-17	L	Zm00001d012100	/
Static local-eQTLs	WS1	Zm00001d012100	/	8:168244413~168245090	8_168245015	7.1000000000000002E-15	L	Zm00001d012100	/
Static local-eQTLs	WS2	Zm00001d012100	/	8:168244413~168245090	8_168245015	7.3999999999999999E-16	L	Zm00001d012100	/
Static local-eQTLs	WW	Zm00001d049624	Magnesium transporter CorA-like family protein	4:37965040~37978218	4_37969866	6.0600000000000002E-14	L	Zm00001d049623,Zm00001d049624,Zm00001d049625,Zm00001d026793	"SNARE-associated protein-related,\Magnesium transporter CorA-like family protein\"",\""Protein LSD1\"",\""/\"""""
Static local-eQTLs	WS1	Zm00001d049624	Magnesium transporter CorA-like family protein	4:37962694~37978269	4_37971581	2.1200000000000001E-13	L	Zm00001d049623,Zm00001d049624,Zm00001d049625,Zm00001d026793	"SNARE-associated protein-related,\Magnesium transporter CorA-like family protein\"",\""Protein LSD1\"",\""/\"""""
Static local-eQTLs	WS2	Zm00001d049624	Magnesium transporter CorA-like family protein	4:37962735~37978218	4_37969478	2.9099999999999997E-14	L	Zm00001d049623,Zm00001d049624,Zm00001d049625,Zm00001d026793	"SNARE-associated protein-related,\Magnesium transporter CorA-like family protein\"",\""Protein LSD1\"",\""/\"""""
Static local-eQTLs	WW	Zm00001d012528	Pentatricopeptide repeat-containing protein mitochondrial	8:176119347~176122865	8_176119347	4.2299999999999999E-11	L	Zm00001d012529	Zinc finger protein VAR3 chloroplastic
Static local-eQTLs	WS1	Zm00001d012528	Pentatricopeptide repeat-containing protein mitochondrial	8:176119347~176123032	8_176119351	5.3499999999999996E-12	L	Zm00001d012529	Zinc finger protein VAR3 chloroplastic
Static local-eQTLs	WS2	Zm00001d012528	Pentatricopeptide repeat-containing protein mitochondrial	8:176119347~176120746	8_176119733	4.5399999999999996E-9	L	Zm00001d012529	Zinc finger protein VAR3 chloroplastic
Static local-eQTLs	WW	Zm00001d026244	putrescine-binding periplasmic protein-related	10:141742635~141747346	10_141742704	4.3900000000000001E-14	L	Zm00001d026244,Zm00001d026245	"putrescine-binding periplasmic protein-related,\Trihelix transcription factor GT-3b\"""""
Static local-eQTLs	WS1	Zm00001d026244	putrescine-binding periplasmic protein-related	10:141742704~141747346	10_141742704	7.4399999999999996E-13	L	Zm00001d026244,Zm00001d026245	"putrescine-binding periplasmic protein-related,\Trihelix transcription factor GT-3b\"""""
Static local-eQTLs	WS2	Zm00001d026244	putrescine-binding periplasmic protein-related	10:141742704~141747346	10_141742704	1.4999999999999999E-13	L	Zm00001d026244,Zm00001d026245	"putrescine-binding periplasmic protein-related,\Trihelix transcription factor GT-3b\"""""
Static local-eQTLs	WW	Zm00001d033799	 phytochromeA1	1:274081274~274086694	1_274082942	2.19E-13	L	Zm00001d033799	 phytochromeA1
Static local-eQTLs	WS1	Zm00001d033799	 phytochromeA1	1:274081274~274086694	1_274082942	5.8600000000000003E-13	L	Zm00001d033799	 phytochromeA1
Static local-eQTLs	WS2	Zm00001d033799	 phytochromeA1	1:274081274~274086818	1_274084898	1.4100000000000001E-12	L	Zm00001d033799	 phytochromeA1
Static local-eQTLs	WW	Zm00001d045028	Nucleolar GTP-binding protein 1  	9:10619799~10630953	9_10620605	3.3100000000000001E-19	L	Zm00001d045028,Zm00001d045029	"Nucleolar GTP-binding protein 1  ,\Adrenodoxin-like protein 2 mitochondrial\"""""
Static local-eQTLs	WS1	Zm00001d045028	Nucleolar GTP-binding protein 1  	9:10619925~10630953	9_10623750	5.3000000000000003E-18	L	Zm00001d045028,Zm00001d045029	"Nucleolar GTP-binding protein 1  ,\Adrenodoxin-like protein 2 mitochondrial\"""""
Static local-eQTLs	WS2	Zm00001d045028	Nucleolar GTP-binding protein 1  	9:10619799~10630953	9_10627908	5.94E-18	L	Zm00001d045028,Zm00001d045029	"Nucleolar GTP-binding protein 1  ,\Adrenodoxin-like protein 2 mitochondrial\"""""
Static local-eQTLs	WW	Zm00001d011511	PNAS-3 related	8:152921465~152923718	8_152921560	1.13E-9	L	Zm00001d011510,Zm00001d011511	"Phosphoglycerate mutase family protein,\PNAS-3 related\"""""
Static local-eQTLs	WS1	Zm00001d011511	PNAS-3 related	8:152921560~152923718	8_152921560	6.5700000000000003E-9	L	Zm00001d011510,Zm00001d011511	"Phosphoglycerate mutase family protein,\PNAS-3 related\"""""
Static local-eQTLs	WS2	Zm00001d011511	PNAS-3 related	8:152919884~152926927	8_152922483	4.2399999999999999E-16	L	Zm00001d011510,Zm00001d011511	"Phosphoglycerate mutase family protein,\PNAS-3 related\"""""
Static local-eQTLs	WW	Zm00001d001868	/	2:2110257~2111266	2_2111214	4.3200000000000001E-14	L	Zm00001d001868	/
Static local-eQTLs	WS1	Zm00001d001868	/	2:2110578~2111266	2_2111202	7.9099999999999999E-14	L	Zm00001d001868	/
Static local-eQTLs	WS2	Zm00001d001868	/	2:2110792~2111266	2_2111214	3.8200000000000003E-12	L	Zm00001d001868	/
Static local-eQTLs	WW	Zm00001d039404	Syntaxin-41	3:3476748~3478522	3_3477730	6.2600000000000005E-8	L	Zm00001d039404	Syntaxin-41
Static local-eQTLs	WS1	Zm00001d039404	Syntaxin-41	3:3475929~3483072	3_3476748	5.5800000000000002E-9	L	Zm00001d039404	Syntaxin-41
Static local-eQTLs	WS2	Zm00001d039404	Syntaxin-41	3:3475929~3483072	3_3477260	5.2199999999999998E-9	L	Zm00001d039404	Syntaxin-41
Static local-eQTLs	WW	Zm00001d008425	Putative homeodomain-like transcription factor superfamily protein  	8:8352622~8355146	8_8353299	5.7999999999999996E-10	L	Zm00001d008425	Putative homeodomain-like transcription factor superfamily protein  
Static local-eQTLs	WS1	Zm00001d008425	Putative homeodomain-like transcription factor superfamily protein  	8:8352622~8356771	8_8353299	1.73E-9	L	Zm00001d008425	Putative homeodomain-like transcription factor superfamily protein  
Static local-eQTLs	WS2	Zm00001d008425	Putative homeodomain-like transcription factor superfamily protein  	8:8343641~8356483	8_8353299	2.9400000000000003E-11	L	Zm00001d008425	Putative homeodomain-like transcription factor superfamily protein  
Static local-eQTLs	WW	Zm00001d046508	 phospholipase D5	9:93063029~93070096	9_93066558	2.2699999999999999E-13	L	Zm00001d046508	 phospholipase D5
Static local-eQTLs	WS1	Zm00001d046508	 phospholipase D5	9:93063029~93070096	9_93066221	9.1799999999999998E-14	L	Zm00001d046508	 phospholipase D5
Static local-eQTLs	WS2	Zm00001d046508	 phospholipase D5	9:93063029~93070096	9_93066558	2.5199999999999999E-13	L	Zm00001d046508	 phospholipase D5
Static local-eQTLs	WW	Zm00001d017091	Isocitrate dehydrogenase [NAD] regulatory subunit 3 mitochondrial	5:185084509~185089356	5_185089219	2.4999999999999999E-17	L	Zm00001d017091,ENSRNA049476610	"Isocitrate dehydrogenase [NAD] regulatory subunit 3 mitochondrial,\U2 spliceosomal RNA\"""""
Static local-eQTLs	WS1	Zm00001d017091	Isocitrate dehydrogenase [NAD] regulatory subunit 3 mitochondrial	5:185084509~185089356	5_185089219	1.88E-16	L	Zm00001d017091,ENSRNA049476610	"Isocitrate dehydrogenase [NAD] regulatory subunit 3 mitochondrial,\U2 spliceosomal RNA\"""""
Static local-eQTLs	WS2	Zm00001d017091	Isocitrate dehydrogenase [NAD] regulatory subunit 3 mitochondrial	5:185084509~185089356	5_185084509	4.5099999999999998E-14	L	Zm00001d017091,ENSRNA049476610	"Isocitrate dehydrogenase [NAD] regulatory subunit 3 mitochondrial,\U2 spliceosomal RNA\"""""
Static local-eQTLs	WW	Zm00001d021587	Protein FLX-like 1	7:157224069~157227911	7_157226541	3.3999999999999999E-11	L	Zm00001d021587	Protein FLX-like 1
Static local-eQTLs	WS1	Zm00001d021587	Protein FLX-like 1	7:157224069~157227911	7_157226541	4.1399999999999997E-12	L	Zm00001d021587	Protein FLX-like 1
Static local-eQTLs	WS2	Zm00001d021587	Protein FLX-like 1	7:157224069~157227911	7_157224069	1.0799999999999999E-11	L	Zm00001d021587	Protein FLX-like 1
Static local-eQTLs	WW	Zm00001d030005	Dynamin-related protein 1E	1:98580107~98599276	1_98591747	7.2300000000000001E-16	L	Zm00001d030004,Zm00001d030005	"OSJNBb0016D16.16 protein;  protein,\Dynamin-related protein 1E\"""""
Static local-eQTLs	WS1	Zm00001d030005	Dynamin-related protein 1E	1:98580457~98599310	1_98599261	3.4399999999999999E-15	L	Zm00001d030004,Zm00001d030005	"OSJNBb0016D16.16 protein;  protein,\Dynamin-related protein 1E\"""""
Static local-eQTLs	WS2	Zm00001d030005	Dynamin-related protein 1E	1:98579501~98599276	1_98591747	8.1099999999999996E-15	L	Zm00001d030004,Zm00001d030005	"OSJNBb0016D16.16 protein;  protein,\Dynamin-related protein 1E\"""""
Static local-eQTLs	WW	Zm00001d012098	RNA-binding (RRM/RBD/RNP motifs) family protein	8:168223907~168224365	8_168223907	3.3699999999999997E-8	L	Zm00001d012098	RNA-binding (RRM/RBD/RNP motifs) family protein
Static local-eQTLs	WS1	Zm00001d012098	RNA-binding (RRM/RBD/RNP motifs) family protein	8:168223907~168224129	8_168223907	9.9999999999999995E-8	L	Zm00001d012098	RNA-binding (RRM/RBD/RNP motifs) family protein
Static local-eQTLs	WS2	Zm00001d012098	RNA-binding (RRM/RBD/RNP motifs) family protein	8:168223907~168224129	8_168223907	2.5000000000000002E-10	L	Zm00001d012098	RNA-binding (RRM/RBD/RNP motifs) family protein
Static local-eQTLs	WW	Zm00001d017640	/	5:202856942~202868046	5_202858422	2.5600000000000002E-16	L	Zm00001d017640,Zm00001d017641	"/,\Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain\"""""
Static local-eQTLs	WS1	Zm00001d017640	/	5:202856942~202868046	5_202857038	2.5200000000000001E-18	L	Zm00001d017640,Zm00001d017641	"/,\Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain\"""""
Static local-eQTLs	WS2	Zm00001d017640	/	5:202856942~202868046	5_202857038	7.2399999999999996E-20	L	Zm00001d017640,Zm00001d017641	"/,\Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain\"""""
Static local-eQTLs	WW	Zm00001d013061	Thioredoxin  	5:4062420~4064093	5_4062501	3.0499999999999998E-11	L	Zm00001d013061	Thioredoxin  
Static local-eQTLs	WS1	Zm00001d013061	Thioredoxin  	5:4062420~4065745	5_4062501	3.44E-10	L	Zm00001d013061	Thioredoxin  
Static local-eQTLs	WS2	Zm00001d013061	Thioredoxin  	5:4062501~4064493	5_4064093	1.2100000000000001E-7	L	Zm00001d013061	Thioredoxin  
Static local-eQTLs	WW	Zm00001d028735	 isopropylmalate dehydrogenase1	1:44719049~44719107	1_44719107	4.0499999999999999E-17	L	Zm00001d028735	 isopropylmalate dehydrogenase1
Static local-eQTLs	WS1	Zm00001d028735	 isopropylmalate dehydrogenase1	1:44719049~44719107	1_44719107	4.2199999999999999E-14	L	Zm00001d028735	 isopropylmalate dehydrogenase1
Static local-eQTLs	WS2	Zm00001d028735	 isopropylmalate dehydrogenase1	1:44719049~44719107	1_44719107	2.7799999999999998E-16	L	Zm00001d028735	 isopropylmalate dehydrogenase1
Static local-eQTLs	WW	Zm00001d044532	DUF724 domain-containing protein 2	3:231039572~231041329	3_231039893	2.8500000000000002E-15	L	Zm00001d044532	DUF724 domain-containing protein 2
Static local-eQTLs	WS1	Zm00001d044532	DUF724 domain-containing protein 2	3:231039572~231041329	3_231039893	1.38E-11	L	Zm00001d044532	DUF724 domain-containing protein 2
Static local-eQTLs	WS2	Zm00001d044532	DUF724 domain-containing protein 2	3:231039572~231041329	3_231039893	1.8300000000000002E-14	L	Zm00001d044532	DUF724 domain-containing protein 2
Static local-eQTLs	WW	Zm00001d008411	Mediator of RNA polymerase II transcription subunit 17	8:8047090~8051524	8_8049540	1.2199999999999999E-9	L	Zm00001d008411	Mediator of RNA polymerase II transcription subunit 17
Static local-eQTLs	WS1	Zm00001d008411	Mediator of RNA polymerase II transcription subunit 17	8:8047090~8051524	8_8049540	2.0600000000000001E-10	L	Zm00001d008411	Mediator of RNA polymerase II transcription subunit 17
Static local-eQTLs	WS2	Zm00001d008411	Mediator of RNA polymerase II transcription subunit 17	8:8047090~8051524	8_8049540	2.4299999999999999E-10	L	Zm00001d008411	Mediator of RNA polymerase II transcription subunit 17
Static local-eQTLs	WW	Zm00001d022244	Mitochondrial ribosomal protein L37	7:173495578~173503611	7_173501547	2.4899999999999998E-15	L	Zm00001d022243,Zm00001d022244	"Serine/arginine-rich SC35-like splicing factor SCL33,\Mitochondrial ribosomal protein L37\"""""
Static local-eQTLs	WS1	Zm00001d022244	Mitochondrial ribosomal protein L37	7:173493046~173503611	7_173501547	1.15E-17	L	Zm00001d022243,Zm00001d022244	"Serine/arginine-rich SC35-like splicing factor SCL33,\Mitochondrial ribosomal protein L37\"""""
Static local-eQTLs	WS2	Zm00001d022244	Mitochondrial ribosomal protein L37	7:173493104~173503611	7_173497419	4.1400000000000002E-16	L	Zm00001d022243,Zm00001d022244	"Serine/arginine-rich SC35-like splicing factor SCL33,\Mitochondrial ribosomal protein L37\"""""
Static local-eQTLs	WW	ENSRNA049473297	Small nucleolar RNA Z103	10:105052269~105054220	10_105054185	2.0099999999999999E-9	L	Zm00001d025116	Methylesterase 3
Static local-eQTLs	WS1	ENSRNA049473297	Small nucleolar RNA Z103	10:105052269~105054220	10_105054213	6.5899999999999998E-9	L	Zm00001d025116	Methylesterase 3
Static local-eQTLs	WS2	ENSRNA049473297	Small nucleolar RNA Z103	10:105052269~105054220	10_105053740	4.97E-9	L	Zm00001d025116	Methylesterase 3
Static local-eQTLs	WW	Zm00001d002282	Probable receptor-like protein kinase 	2:9497642~9500480	2_9497700	6.7299999999999997E-9	L	Zm00001d002282	Probable receptor-like protein kinase 
Static local-eQTLs	WS1	Zm00001d002282	Probable receptor-like protein kinase 	2:9497700~9499451	2_9497700	1.6000000000000001E-8	L	Zm00001d002282	Probable receptor-like protein kinase 
Static local-eQTLs	WS2	Zm00001d002282	Probable receptor-like protein kinase 	2:9497642~9498518	2_9497700	6.8299999999999998E-9	L	Zm00001d002282	Probable receptor-like protein kinase 
Static local-eQTLs	WW	Zm00001d007295	Transcriptional corepressor SEUSS	2:226993565~226999532	2_226994056	1.58E-16	L	Zm00001d007295	Transcriptional corepressor SEUSS
Static local-eQTLs	WS1	Zm00001d007295	Transcriptional corepressor SEUSS	2:226993565~226999532	2_226994018	7.4000000000000003E-15	L	Zm00001d007295	Transcriptional corepressor SEUSS
Static local-eQTLs	WS2	Zm00001d007295	Transcriptional corepressor SEUSS	2:226993565~227000311	2_226993945	6.8500000000000004E-17	L	Zm00001d007295	Transcriptional corepressor SEUSS
Static local-eQTLs	WW	Zm00001d050250	/	4:76349792~76350417	4_76350270	2.1499999999999998E-9	L	Zm00001d050250	/
Static local-eQTLs	WS1	Zm00001d050250	/	4:76349792~76350417	4_76350153	3.0899999999999999E-9	L	Zm00001d050250	/
Static local-eQTLs	WS2	Zm00001d050250	/	4:76349720~76350417	4_76350153	4.7300000000000002E-12	L	Zm00001d050250	/
Static local-eQTLs	WW	Zm00001d039678	Protein NSP-INTERACTING KINASE 3	3:11696650~11700854	3_11697002	6.3199999999999998E-21	L	Zm00001d039678	Protein NSP-INTERACTING KINASE 3
Static local-eQTLs	WS1	Zm00001d039678	Protein NSP-INTERACTING KINASE 3	3:11696934~11698041	3_11697002	1.83E-21	L	Zm00001d039678	Protein NSP-INTERACTING KINASE 3
Static local-eQTLs	WS2	Zm00001d039678	Protein NSP-INTERACTING KINASE 3	3:11696577~11698041	3_11697002	2.34E-20	L	Zm00001d039678	Protein NSP-INTERACTING KINASE 3
Static local-eQTLs	WW	Zm00001d047469	Putative nucleolar-protein-domain family protein  	9:131084318~131087895	9_131087793	2.8299999999999999E-17	L	Zm00001d047469	Putative nucleolar-protein-domain family protein  
Static local-eQTLs	WS1	Zm00001d047469	Putative nucleolar-protein-domain family protein  	9:131084318~131090626	9_131087793	4.4899999999999998E-19	L	Zm00001d047469	Putative nucleolar-protein-domain family protein  
Static local-eQTLs	WS2	Zm00001d047469	Putative nucleolar-protein-domain family protein  	9:131085759~131090603	9_131087793	3.6800000000000001E-17	L	Zm00001d047469	Putative nucleolar-protein-domain family protein  
Static local-eQTLs	WW	Zm00001d025342	Serine/threonine-protein kinase KIPK	10:114818160~114821220	10_114820043	2.2999999999999998E-13	L	Zm00001d025342	Serine/threonine-protein kinase KIPK
Static local-eQTLs	WS1	Zm00001d025342	Serine/threonine-protein kinase KIPK	10:114815198~114821220	10_114820200	5.6999999999999997E-14	L	Zm00001d025342	Serine/threonine-protein kinase KIPK
Static local-eQTLs	WS2	Zm00001d025342	Serine/threonine-protein kinase KIPK	10:114818160~114821220	10_114820200	2.38E-12	L	Zm00001d025342	Serine/threonine-protein kinase KIPK
Static local-eQTLs	WW	Zm00001d040366	/	3:40188407~40188608	3_40188407	5.5299999999999995E-10	L	Zm00001d040365	/
Static local-eQTLs	WS1	Zm00001d040366	/	3:40188407~40188608	3_40188407	9.4900000000000003E-11	L	Zm00001d040365	/
Static local-eQTLs	WS2	Zm00001d040366	/	3:40188407~40188608	3_40188407	1.2899999999999999E-10	L	Zm00001d040365	/
Static local-eQTLs	WW	Zm00001d022414	Ubiquitin carboxyl-terminal hydrolase 24	7:177125434~177128646	7_177128646	5.5899999999999999E-9	L	Zm00001d022414	Ubiquitin carboxyl-terminal hydrolase 24
Static local-eQTLs	WS1	Zm00001d022414	Ubiquitin carboxyl-terminal hydrolase 24	7:177125434~177128646	7_177125960	8.3400000000000002E-10	L	Zm00001d022414	Ubiquitin carboxyl-terminal hydrolase 24
Static local-eQTLs	WS2	Zm00001d022414	Ubiquitin carboxyl-terminal hydrolase 24	7:177124478~177128646	7_177125960	8.52E-12	L	Zm00001d022414	Ubiquitin carboxyl-terminal hydrolase 24
Static local-eQTLs	WW	Zm00001d036737	/	6:99416146~99416460	6_99416271	1.52E-12	L	Zm00001d036737	/
Static local-eQTLs	WS1	Zm00001d036737	/	6:99416146~99416271	6_99416271	2.6300000000000002E-10	L	Zm00001d036737	/
Static local-eQTLs	WS2	Zm00001d036737	/	6:99416146~99416271	6_99416146	9.8100000000000002E-10	L	Zm00001d036737	/
Static local-eQTLs	WW	Zm00001d016587	/	5:168560486~168564818	5_168562662	3.36E-9	L	Zm00001d016587,Zm00001d016586	"/,\hydroxyproline-rich glycoprotein family protein\"""""
Static local-eQTLs	WS1	Zm00001d016587	/	5:168559144~168565242	5_168564277	3.6399999999999998E-10	L	Zm00001d016587,Zm00001d016586	"/,\hydroxyproline-rich glycoprotein family protein\"""""
